Index,Source_ID,Facility_Name,Facility_Type,Authority_Name,ISCED010,ISCED020,ISCED1,ISCED2,ISCED3,ISCED4Plus,OLMS_Status,Full_Addr,Unit,Street_No,Street_Name,City,Prov_Terr,Postal_Code,PRUID,CSDNAME,CSDUID,Longitude,Latitude,Geo_Source,Provider,CMANAME,CMAUID
8eab0a067b84fe328d2b,7171081,Huband Park Elementary,Public School,,0,1,1,1,0,,0,5120 Mottishaw Rd Courtenay BC V9J 1L5,,5120,mottishaw rd,Courtenay,BC,V9J1L5,59,,,,,,Province of British Columbia,,
a4e98b143a5355df5f34,2323052,Hudson Road Elementary,Public School,,0,1,1,0,0,,0,1221 Hudson Rd West Kelowna BC V1Z 1J5,,1221,hudson rd,West Kelowna,BC,V1Z1J5,59,West Kelowna,5935029,-119.56446,49.86262251,AGOL,Province of British Columbia,Kelowna,915
d5b35af0b419697434ef,2325214,Hudson Road StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,1221 Hudson Rd West Kelowna BC V1Z 1J5,,1221,hudson rd,West Kelowna,BC,V1Z1J5,59,West Kelowna,5935029,-119.56446,49.86262251,AGOL,Province of British Columbia,Kelowna,915
e016be525d9ef4b3b7c1,6060060,Hudson's Hope School,Public School,,0,1,1,1,1,,0,PO Box 390 Hudson's Hope BC V0C 1V0,,,,Hudson's Hope,BC,V0C1V0,59,,,,,,Province of British Columbia,,
384e0a34e822f9dea35e,6025285,Hudson's Hope StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,PO Box 390 Hudson's Hope BC V0C 1V0,,,,Hudson's Hope,BC,V0C1V0,59,,,,,,Province of British Columbia,,
ea5375a1041412c16cd5,3838031,Hugh Boyd Secondary,Public School,,0,0,0,1,1,,0,9200 No. 1 Rd Richmond BC V7E 6L5,,9200,no 1 rd,Richmond,BC,V7E6L5,59,Richmond,5915015,-123.181318,49.14712,AGOL,Province of British Columbia,Vancouver,933
cbcb873099de4f90bb97,3838033,Hugh McRoberts Secondary,Public School,,0,0,0,1,1,,0,8980 Williams Rd Richmond BC V7A 1G6,,8980,williams rd,Richmond,BC,V7A1G6,59,Richmond,5915015,-123.12636,49.14079246,AGOL,Province of British Columbia,Vancouver,933
c1fbeb32d2bdfd3bc9c5,807004,Hume Elementary School,Public School,,0,1,1,0,0,,0,310 Nelson Ave Nelson BC V1L 2M8,,310,nelson ave,Nelson,BC,V1L2M8,59,Nelson,5903015,-117.278652,49.50044715,Nominatim,Province of British Columbia,Nelson,907
1b2aba0175b322ea808e,3636131,Hyland Elementary,Public School,,0,1,1,1,0,,0,6677 140 St Surrey BC V3W 5J3,,6677,140 st,Surrey,BC,V3W5J3,59,Surrey,5915004,-122.8343018,49.12370775,AGOL,Province of British Columbia,Vancouver,933
91af087e2da2553a61bf,3696830,iLearn Secondary School Society,Independent School,,0,0,0,1,1,,0,618-7184 120 St Surrey BC V3W 3M8,,,,Surrey,BC,V3W3M8,59,Surrey,5915004,-122.890258,49.13349002,AGOL,Province of British Columbia,Vancouver,933
8b6da9cdd32f6548714b,2396013,Immaculata Regional High School,Independent School,,0,0,0,1,1,,0,1493 K.L.O. Rd Kelowna BC V1W 3N8,,1493,klo rd,Kelowna,BC,V1W3N8,59,,,,,,Province of British Columbia,,
3da414191f7be003d399,5796310,Immaculate Conception,Independent School,,0,1,1,1,0,,0,3285 Cathedral Ave Prince George BC V2N 5R2,,3285,cathedral ave,Prince George,BC,V2N5R2,59,Prince George,5953023,-122.7966902,53.85935245,AGOL,Province of British Columbia,Prince George,970
a043260758f99e862e69,3796130,Immaculate Conception School,Independent School,,0,1,1,1,0,,0,8840 119 St Delta BC V4C 6M4,,8840,119 st,Delta,BC,V4C6M4,59,,,,,,Province of British Columbia,,
f57b6386632bc71c2105,3996129,Immaculate Conception School,Independent School,,0,1,1,1,0,,0,3745 West 28th Ave Vancouver BC V6S 1S5,,3745,west 28th ave,Vancouver,BC,V6S1S5,59,Vancouver,5915022,-123.1877194,49.24716748,AGOL,Province of British Columbia,Vancouver,933
b9161df00b311c323722,4343030,Inquiry Hub,Public School,,0,0,0,1,1,,0,1432 Brunette Ave Coquitlam BC V3K 1G5,,1432,brunette ave,Coquitlam,BC,V3K1G5,59,,,,,,Province of British Columbia,,
a4466c6dc2f4f11cf16d,3696667,Iqra School,Independent School,,0,1,1,1,0,,0,14590 116A Ave Surrey BC V3R 2V1,,14590,116a ave,Surrey,BC,V3R2V1,59,Surrey,5915004,-122.81798,49.21429248,AGOL,Province of British Columbia,Vancouver,933
eef205e4f9ea50164a5a,4545060,Irwin Park Elementary,Public School,,0,1,1,1,0,,0,2455 Haywood Ave West Vancouver BC V7V 1Y2,,2455,haywood ave,West Vancouver,BC,V7V1Y2,59,West Vancouver,5915055,-123.1802833,49.33542716,AGOL,Province of British Columbia,Vancouver,933
f89d972b3d90092f139f,501009,Isabella Dicken Elementary,Public School,,0,1,1,0,0,,0,PO Box 1559 Fernie BC V0B 1M0,,,,Fernie,BC,V0B1M0,59,Fernie,5901012,-115.0551352,49.5104294,Nominatim,Province of British Columbia,...,...
de4516330b262175fb45,525088,Isabella Dicken StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,PO Box 1559 Fernie BC V0B 1M0,,,,Fernie,BC,V0B1M0,59,,,,,,Province of British Columbia,,
de5cb5abab445b413bae,6899308,Island ConnectEd K-12,Public School,,0,1,1,1,1,,0,4355 Jingle Pot Rd Nanaimo BC V9T 5P4,,4355,jingle pot rd,Nanaimo,BC,V9T5P4,59,Nanaimo,5921007,-124.0197269,49.20554521,AGOL,Province of British Columbia,Nanaimo,938
0cf9ec25c9f859704554,4596639,Island Pacific School,Independent School,,0,0,1,1,0,,0,671 Carter Road Box 128 Bowen Island BC V0N 1G0,,671,carter road,Bowen Island,BC,V0N1G0,59,Bowen Island,5915062,-123.3502174,49.38091107,AGOL,Province of British Columbia,Vancouver,933
447c42dae3d6a3dfff39,604012,J Alfred Laird Elementary,Public School,,0,0,1,1,0,,0,1202 13th Avenue Invermere BC V0A 1K4,,1202,13th avenue,Invermere,BC,V0A1K4,59,,,,,,Province of British Columbia,,
42931f43c1d7f667f8aa,2011012,J Lloyd Crowe Secondary,Public School,,0,0,0,1,1,,0,1300 Frances Moran Rd Trail BC V1R 4L9,,1300,frances moran rd,Trail,BC,V1R4L9,59,,,,,,Province of British Columbia,,
8387448c9f326ab62311,3838042,J N Burnett Secondary,Public School,,0,0,0,1,1,,0,5011 Granville Ave Richmond BC V7C 1E6,,5011,granville ave,Richmond,BC,V7C1E6,59,Richmond,5915015,-123.1685061,49.16267719,AGOL,Province of British Columbia,Vancouver,933
66597c8fb2be6e5694c1,8181014,J S Clark Elementary,Public School,,0,1,1,0,0,,0,Bag 6500 Fort Nelson BC V0C 1R0,,,,Fort Nelson,BC,V0C1R0,59,,,,,,Province of British Columbia,,
1ff78b0cd4b8cc7d72e4,8125183,J S Clark StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,Bag 7500 Fort Nelson BC V0C 1R0,,,,Fort Nelson,BC,V0C1R0,59,,,,,,Province of British Columbia,,
58f66f37235f04a39ec9,3636034,J T Brown Elementary,Public School,,0,1,1,1,0,,0,12530 60 Ave Surrey BC V3X 2K8,,12530,60 ave,Surrey,BC,V3X2K8,59,Surrey,5915004,-122.8757199,49.11176249,AGOL,Province of British Columbia,Vancouver,933
d2f69cce014715e1e90b,886018,J V Humphries Elem-Secondary,Public School,,0,1,1,1,1,,0,PO Box 577 Kaslo BC V0G 1M0,,,,Kaslo,BC,V0G1M0,59,,,,,,Province of British Columbia,,
ce88d97185d397b98e3a,2222010,J W Inglis Elementary,Public School,,0,1,1,0,0,,0,PO Box 369 Lumby BC V0E 2G0,,,,Lumby,BC,V0E2G0,59,,,,,,Province of British Columbia,,
35af06afd2e8a6068e2f,8383043,J.L. Jackson Secondary,Public School,,0,0,0,1,1,,0,551 14 St NE Salmon Arm BC V1E 2S5,,551,14 st ne,Salmon Arm,BC,V1E2S5,59,,,,,,Province of British Columbia,,
7336bbdc83cb12c0d244,3939063,J.W. Sexsmith Community Elementary,Public School,,0,1,1,1,0,,0,7410 Columbia St Vancouver BC V5X 3C1,,7410,columbia st,Vancouver,BC,V5X3C1,59,,,,,,Province of British Columbia,,
c55f49bdf4bb03f60100,3434031,Jackson Elementary,Public School,,0,1,1,0,0,,0,33165 King Rd Abbotsford BC V2S 7Z9,,33165,king rd,Abbotsford,BC,V2S7Z9,59,Abbotsford,5909052,-122.3045704,49.03103751,AGOL,Province of British Columbia,Abbotsford - Mission,932
53ec3a2bf75e4cc7e38f,3425103,Jackson StrongStart Program,StrongStart BC,,1,0,0,0,0,,0,33165 King Rd Abbotsford BC V2S 7Z9,,33165,king rd,Abbotsford,BC,V2S7Z9,59,Abbotsford,5909052,-122.3045704,49.03103751,AGOL,Province of British Columbia,Abbotsford - Mission,932
0a94d6236c0d6d2431eb,501007,Jaffray Elem-Jr Secondary,Public School,,0,1,1,1,1,,0,PO Box 378 Jaffray BC V0B 1T0,,,,Jaffray,BC,V0B1T0,59,,,,,,Province of British Columbia,,
ee085a59c5fae17db64e,3636062,James Ardiel Elementary,Public School,,0,1,1,1,0,,0,13751 112 Ave Surrey BC V3R 2G4,,13751,112 ave,Surrey,BC,V3R2G4,59,Surrey,5915004,-122.8411295,49.2061475,AGOL,Province of British Columbia,Vancouver,933
cb880e5d7bd9fd3c800f,3625415,James Ardiel StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,13751 112 Ave Surrey BC V3R 2G4,,13751,112 ave,Surrey,BC,V3R2G4,59,Surrey,5915004,-122.8411295,49.2061475,AGOL,Province of British Columbia,Vancouver,933
24681dc75522faa67415,6161033,James Bay Community,Public School,,0,1,1,0,0,,0,140 Oswego St Victoria BC V8V 2B1,,140,oswego st,Victoria,BC,V8V2B1,59,Victoria,5917034,-123.3793422,48.41677326,AGOL,Province of British Columbia,Victoria,935
6a7afef8b6ca8be92d96,6125160,James Bay StrongStart Centre,StrongStart BC,,1,0,0,0,0,,0,140 Oswego St Victoria BC V8V 2B1,,140,oswego st,Victoria,BC,V8V2B1,59,Victoria,5917034,-123.3793422,48.41677326,AGOL,Province of British Columbia,Victoria,935
1245459f2156bcc0de9b,4296369,James Cameron School,Independent School,,0,0,1,1,0,,0,PO Box 157 STN Del Ctr Maple Ridge BC V2X 7G1,,,,Maple Ridge,BC,V2X7G1,59,,,,,,Province of British Columbia,,
ecd4b2eaab92affec26e,3838025,James Gilmore Elementary,Public School,,0,1,1,1,0,,0,8380 Elsmore Rd Richmond BC V7C 2A1,,8380,elsmore rd,Richmond,BC,V7C2A1,59,Richmond,5915015,-123.188668,49.15190942,AGOL,Province of British Columbia,Vancouver,933
